Injury to the muscle tissue or tendon in the form of incomplete tears,Strain
Any break in the continuity of the bone is called,Fracture
"Injury involving the ligaments structure surrounding a joint, tear or stretching of the joint is called",Sprain
Initial management for musculoskeletal injuries are,"Rest, ice, compression and elevation (RICE)"
What are the signs and symptoms of fracture,"Pain, abnormal motion, soft tissue edema/swelling, obvious deformity, and discoloration/bruising"
What are the neurovascular compromise,"Parenthesis, pain, pallor, pulse less as, paralysis"
What is the earliest sign of neurovascular compromise,Parenthesis
"In fracture, where do you need to focus the assessment to",Area distal to the fracture
What is the late sign of compartment syndrome,Cyanosis
What are the 4 complications of fracture,"Compartment syndrome, disuse syndrome, fat embolism, and constipation."
"Among all of the complications of fracture, what do you need to report first",Fat embolism
What are the signs and symptoms of fat embolism,"Hypoxia/dyspnea, neurological abnormalities, Pete hail rash"
Where do you usually see petechial rash in fat embolism,"Upper extremities only like face, shoulders and chest"
What are the 2 examples of disuse syndrome,Contracture and muscle atrophy.
This is the permanent shortening of a muscle or joint,Contracture
This is a decrease in the mass of the muscle,Muscle atrophy
This is the release of fat globule after 48-72 hrs after injury of the long bone,Fat embolism
What is the drying time of plaster of Paris,24-72 hrs
What is drying time of fiberglass cast,20-3- mins
What are the characteristics of a dry cast,"Hard, white, shiny with resonant sound, cold to touch"
What are the nursing management for cast,"Use palm of hands to prevent indentation, elevate extreme ties, ROM exercise, air drying, blower in cool setting only, check neurovascular- 5 P's, maintain cleanliness with damp cloth, observe proper skin care (petaling)"
Covering rough edges with adhesive tape is called,Petaling
What are the don't for cast,"Wet the cast, cover the cast with blanket"
What do you need to remember for traction,"Exert a pulling force, reduce nerve compression, allows alignment, controls contracture, decrease muscle spasm, injured part is maintain in position, observe weights hang freely, no obstructions on pulled"
What do you need to remember for skin traction,"Applied to skin, 5-7 lbs, short and intermittent, skin care every shift, for pediatric pt's"
What do you need to remember for skeletal traction,"For adult pt's, 25-45 lbs, long and continuous, pin care every shift"
What are the pin site care,"Clean for pin going out, report sign and symptoms of infection, clean with chlorhexidine, half strength hydrogen peroxide"
What are the signs of infection,"Redness, swelling, pus formation and fever"
Skin traction for children with congenital hip dysplasia where the buttocks should not touch the bed is called,Bryant's
Skin traction for hip fracture and knees injuries is called,Buck's
